trade_date,sec_code,weight
2019-01-31,000006.SZ,0.00728171934356282
2019-01-31,000008.SZ,0.009783002494033268
2019-01-31,000025.SZ,0.006927588831528072
2019-01-31,000090.SZ,0.0072335233828844615
2019-01-31,000536.SZ,0.0035362827376999406
2019-01-31,000587.SZ,0.0029951262609660915
2019-01-31,000598.SZ,0.013334951283045925
2019-01-31,000612.SZ,0.004724118262149272
2019-01-31,000636.SZ,0.009400797073140317
2019-01-31,000656.SZ,0.03163848898108685
2019-01-31,000690.SZ,0.013712575618511413
2019-01-31,000712.SZ,0.00861126381104006
2019-01-31,000766.SZ,0.003573236126343016
2019-01-31,000807.SZ,0.009011499375496137
2019-01-31,000829.SZ,0.004533446341846205
2019-01-31,000877.SZ,0.007342292640556658
2019-01-31,000980.SZ,0.005288863126003879
2019-01-31,000999.SZ,0.02269843772693644
2019-01-31,002002.SZ,0.009079837402147989
2019-01-31,002048.SZ,0.005926422031171113
2019-01-31,002051.SZ,0.01312354890047593
2019-01-31,002074.SZ,0.012903215502737719
2019-01-31,002110.SZ,0.009245071689836645
2019-01-31,002127.SZ,0.018170202895117803
2019-01-31,002128.SZ,0.012810648157288333
2019-01-31,002131.SZ,0.005264160988756261
2019-01-31,002152.SZ,0.010935345113496444
2019-01-31,002195.SZ,0.015965818210068844
2019-01-31,002308.SZ,0.0038089939126305684
2019-01-31,002358.SZ,0.016740294831303158
2019-01-31,002359.SZ,0.004761418384322408
2019-01-31,002375.SZ,0.007075780640860439
2019-01-31,002400.SZ,0.004962219126533898
2019-01-31,002408.SZ,0.011379794456573522
2019-01-31,002437.SZ,0.005942876113233967
2019-01-31,002463.SZ,0.014279642546309756
2019-01-31,002465.SZ,0.01662082936958244
2019-01-31,002642.SZ,0.0030073775123615493
2019-01-31,002707.SZ,0.002915608704738968
2019-01-31,002745.SZ,0.00623251418867753
2019-01-31,002818.SZ,0.0020086693679450167
2019-01-31,300001.SZ,0.016905991430365228
2019-01-31,300010.SZ,0.0052626794909460045
2019-01-31,300058.SZ,0.0066374359093277525
2019-01-31,300113.SZ,0.006010804363895747
2019-01-31,300146.SZ,0.015800646964840202
2019-01-31,300166.SZ,0.010085049427022316
2019-01-31,300266.SZ,0.004562319788531213
2019-01-31,300376.SZ,0.010316394241109103
2019-01-31,300450.SZ,0.015302086176920405
2019-01-31,600006.SH,0.007628137661322897
2019-01-31,600039.SH,0.011877829890659893
2019-01-31,600053.SH,0.00898750121238531
2019-01-31,600056.SH,0.01303802129639443
2019-01-31,600062.SH,0.009402404655870597
2019-01-31,600141.SH,0.006098685553150988
2019-01-31,600151.SH,0.0057197268189486
2019-01-31,600158.SH,0.005740846043052263
2019-01-31,600169.SH,0.006115307748440537
2019-01-31,600259.SH,0.0055413376712709975
2019-01-31,600260.SH,0.011129515890330118
2019-01-31,600280.SH,0.004391895004968323
2019-01-31,600366.SH,0.005154771813560624
2019-01-31,600373.SH,0.018459567786567987
2019-01-31,600392.SH,0.012273631468761868
2019-01-31,600393.SH,0.0021493170962294085
2019-01-31,600428.SH,0.00579030285293084
2019-01-31,600478.SH,0.006408476201644713
2019-01-31,600500.SH,0.014838934237373418
2019-01-31,600525.SH,0.005844666467613602
2019-01-31,600528.SH,0.02075757052473318
2019-01-31,600582.SH,0.014697719126948927
2019-01-31,600598.SH,0.015148052432960359
2019-01-31,600643.SH,0.012506258146202211
2019-01-31,600657.SH,0.006726514905323201
2019-01-31,600729.SH,0.01174344438006992
2019-01-31,600737.SH,0.014918998161587302
2019-01-31,600765.SH,0.006719475163955314
2019-01-31,600801.SH,0.018397786175757273
2019-01-31,600808.SH,0.022636025691525615
2019-01-31,600820.SH,0.0212747288383562
2019-01-31,600859.SH,0.005950766927812002
2019-01-31,600872.SH,0.025805695510108643
2019-01-31,600875.SH,0.019428950680002766
2019-01-31,600885.SH,0.019727456728154534
2019-01-31,600939.SH,0.001927943497901017
2019-01-31,600970.SH,0.010202508037099352
2019-01-31,601019.SH,0.003592863345559753
2019-01-31,601020.SH,0.0024305284961848436
2019-01-31,601168.SH,0.01354572324101581
2019-01-31,601801.SH,0.013940789323750992
2019-01-31,603225.SH,0.0020345167765494993
2019-01-31,603233.SH,0.0025957312626434938
